Season,Player,Pos,Week,Team,Opp,Fantasy Points,InflAdj,InflMean,Location,DEFZ-score,Mean1,Mean,HomeEff,SD1,SD,SDdiff,,InfMean1,InfMean,InfHoEff,InfSD1,InfSD,InfSDdiff,,,,Pass Att,Rush Att,FaPts/Att,Mean,StdDev,,Mean_1,Mean_2,HomeAdv
2,Tom Brady,QB,1,NE,PIT,23.76,26.136,,1,,,,,,,,,19.29868217,19.56464467,-0.265962501,8.786768302,9.091371553,0.304603251,,,,,,,,,,,,
3,Tom Brady,QB,1,NE,BUF,-3.08,-3.90236,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tom Brady,QB,1,NE,IND,23.3,27.610267,,1,-0.14377,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tom Brady,QB,1,NE,OAK,20.14,25.8917826,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tom Brady,QB,1,NE,BUF,10.82,13.6332,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tom Brady,QB,1,NE,NYJ,24.28,29.339345,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tom Brady,QB,1,NE,KC,3.04,3.70639232,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tom Brady,QB,1,NE,BUF,22.02,25.84315644,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tom Brady,QB,1,NE,CIN,22.32,24.63784272,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tom Brady,QB,1,NE,MIA,34.98,37.31470512,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tom Brady,QB,1,NE,TEN,17.54,18.1701245,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tom Brady,QB,1,NE,BUF,15.12,15.12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tom Brady,QB,2,NE,NYJ,17.26,18.986,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tom Brady,QB,2,NE,PHI,22.9,29.0143,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tom Brady,QB,2,NE,ARI,11.06,13.1059894,,2,2.337369,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tom Brady,QB,2,NE,CAR,10.8,13.884372,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tom Brady,QB,2,NE,NYJ,8.7,10.962,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tom Brady,QB,2,NE,SD,21.36,25.81089,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tom Brady,QB,2,NE,NYJ,6.84,8.02757448,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tom Brady,QB,2,NE,NYJ,11.92,13.15784432,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tom Brady,QB,2,NE,SD,29.22,31.17025968,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tom Brady,QB,2,NE,ARI,14.54,15.0623495,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tom Brady,QB,2,NE,NYJ,11.2,11.2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tom Brady,QB,3,NE,IND,6.92,8.0618,19.56464467,1,,16.86568421,17.06421053,-0.198526316,7.761026879,7.964795379,0.2037685,,,,,,,,,,,,,,,,,,,
2,Tom Brady,QB,3,NE,KC,30.6,33.66,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tom Brady,QB,3,NE,NYJ,11.14,14.11438,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tom Brady,QB,3,NE,PIT,12.88,16.5583992,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
